| #  | Concept (Kanji) | Glyph   | Verb Form    |
| -- | --------------- | ------- | ------------ |
| 1  | Universe (宇宙)   | **qheo**2d | alam semesta; universe; to beset; to circle; to enclose; to envelop; to gird; to girdle; to cover; to embody; to encompass |
| 3  | Sun (太陽)        | **fei** | sun; matahari; year; yellow; egg;      |
| 4  | Moon (月)        | **feo** | to reflect; moon; bulan; month; far; deep; distant; long   |
| 5  | Star (星)        | **iqo**2 | bintang; hero; idol; name; capital; chief; dominant; leading; major; main; principal; to twinkle; to blink; to flicker; to gleam; to wink; to sparkle; to shimmer   |
| 7  | Mountain (山)    | **doi** | gunung; mountain; mt.; mount; cliff; alp; to elevant; to rise; ascent; to ascend; to hike; to climb; to up; to step; to lift; to soar;       |
| 8  | River (川)       | **~ttao ** | sungai; stream; rill; run; course; current; tide; flow; to flow; to stream; to course; lake; river; |
| 9  | Sea (海)         | **q~i^a** | laut; sea; ocean; expanse; lake; main; surge; flood; to surge; to flood; calm; peace     |
| #  | Concept (Kanji) | Glyph    | Verb Form     |
| -- | --------------- | -------- | ------------- |
| 11 | Fire (火)        | **r~a^**  | api; bakar; fire; flame; blaze; to burn; to blaze; to flare; to ignite; to kindle; to incirnerate;        |
| 12 | Water (水)       | **q~i^** | siram; id-air; to water; to spray; to sprinkle; to drench; water; aqua;      |
| 13 | Earth (土)       | **do**  | | tanah; planet; dunia; bumi; lahan; world; planet; land; ground; floor; soil;clay; dirt; terrain |
| 14 | Air (気)         | **k~i^**  | udara; angin; air; wind; expression; appearance; look; impression; aspect; manner; bearing; mood; quality; ambience; aura; flavor; to express; to voice; to vent; to ventilate; to articulate; to aerate; to fresh; to freshen; to breeze; to blow; to draft; zephyr; breeze; to breathe; breath; to puff; to gale;     |
| 15 | Solid (金)       | **fer**  | solid; hard; rigid; firm; set; concrete; strong; durable; substantial; sturdy; valid; to solidify; to harden;  |
| 16 | Tree (木)        | **ha~a^**  | pohon; sapling; bush; shrub; to grow; to cultivate; to produce; to raise; to promote; develop; to develop; to evolve; to advance; to progress; to mature; to thrive; to prosper; to bloom;         |
| 17 | Light (光)       | **iq**  | light; illumination; cahaya; luminescence; luminosity; shine; gleam; radiance; glow; glare; angle; viewpoint; standpoint; opinion; interpretation; point of view; start; to start; bright; sunny; brilliant; beam; to lighten; to cheer up; to revive; to enliven; to encourage; to uplift; to glow; to glare; to radiate;    |
| 18 | Darkness (暗)    | **oq**  | dark; black; gloomy; dim; to dim; to dark; to blacken; to gloom; dull; murk; dull; somber; cloudy; to end; end; gelap;    |
| 19 | Sky              | **hi**  |  langit; kosong; palsu; sky; weather; lie; falsehood; fake; fake; deceit; myth; tale; ; empty; blank; dry; hollow; void; vain; to clear; to consume; to deplete; to lie; to drain;  
| 20 | Rain (雨)        | **f~a/e**  | to pour       |
| #  | Concept (Kanji) | Glyph    | Verb Form  |
| -- | --------------- | -------- | ---------- |
| 21 | Time (時)        | **krō** | waktu; time; lewat; to pass; elapse; to cross; to go; to lapse; to forward; over; too much; overly;     |
| 22 | Day (日)         | **diē**  | hari; today; day;     |
| 23 | Night (夜)       | **nox**  | to fall    |
| 24 | Morning (朝)     | **aur**  | to rise    |
| 25 | Evening (夕)     | **ves**  | to set     |
| 26 | Spring (春)      | **ver**  | to bloom   |
| 27 | Summer (夏)      | **aest** | to heat    |
| 28 | Autumn (秋)      | **aut**  | to harvest |
| 29 | Winter (冬)      | **hib**  | to freeze  |
| 30 | Year (年)        | **ann**  | to cycle   |
| #  | Concept (Kanji) | Glyph    | Verb Form  |
| -- | --------------- | -------- | ---------- |
| 31 | North (北)       | **bore** | to ascend  |
| 32 | South (南)       | **not**  | to descend |
| 33 | East (東)        | **ori**  | to begin   |
| 34 | West (西)        | **occ**  | to end     |
| 35 | Up (上)          | **sup**  | to elevate |
| 36 | Down (下)        | **inf**  | to lower   |
| 37 | Left (左)        | **sin**  | to deviate |
| 38 | Right (右)       | **dex**  | to align   |
| 39 | Center (中)      | **med**  | to balance |
| #  | Concept (Kanji) | Glyph    | Verb Form  |
| -- | --------------- | -------- | ---------- |
| 41 | Head (頭)        | **cap**  | to think   |
| 42 | Eye (目)         | **oc**   | to see     |
| 43 | Ear (耳)         | **aur**  | to hear    |
| 44 | Mouth (口)       | **or**   | to speak   |
| 45 | Hand (手)        | **man**  | to grasp   |
| 46 | Foot (足)        | **ped**  | to walk    |
| 47 | Heart (心)       | **cor**  | to feel    |
| 48 | Blood (血)       | **sang** | to bleed   |
| 49 | Bone (骨)        | **oss**  | to support |
| 50 | Skin (皮)        | **derm** | to cover   |
| #  | Concept (Kanji) | Glyph     | Verb Form   |
| -- | --------------- | --------- | ----------- |
| 51 | Love (愛)        | **am**    | to cherish  |
| 52 | Hate (憎)        | **od**    | to despise  |
| 53 | Joy (喜)         | **gaud**  | to rejoice  |
| 54 | Sadness (悲)     | **trist** | to mourn    |
| 55 | Anger (怒)       | **ira**   | to rage     |
| 56 | Fear (恐)        | **met**   | to dread    |
| 57 | Surprise (驚)    | **mir**   | to startle  |
| 58 | Disgust (嫌)     | **fast**  | to repel    |
| 59 | Trust (信)       | **fid**   | to rely     |
| 60 | Doubt (疑)       | **dub**   | to question |
| 40 | Outside (外)     | **ext**  | to expose  |
| #  | Concept (Kanji) | Glyph     | Verb Form   |
| -- | --------------- | --------- | ----------- |
| 51 | Love (愛)        | **am**    | to cherish  |
| 52 | Hate (憎)        | **od**    | to despise  |
| 53 | Joy (喜)         | **gaud**  | to rejoice  |
| 54 | Sadness (悲)     | **trist** | to mourn    |
| 55 | Anger (怒)       | **ira**   | to rage     |
| 56 | Fear (恐)        | **met**   | to dread    |
| 57 | Surprise (驚)    | **mir**   | to startle  |
| 58 | Disgust (嫌)     | **fast**  | to repel    |
| 59 | Trust (信)       | **fid**   | to rely     |
| 60 | Doubt (疑)       | **dub**   | to question |
| #  | Concept (Kanji) | Glyph     | Verb Form  |
| -- | --------------- | --------- | ---------- |
| 61 | Person (人)      | **hom**   | to exist   |
| 62 | Man (男)         | **vir**   | to act     |
| 63 | Woman (女)       | **fem**   | to nurture |
| 64 | Child (子)       | **inf**   | to grow    |
| 65 | Family (家族)     | **gen**   | to unite   |
| 66 | Friend (友)      | **amic**  | to support |
| 67 | Enemy (敵)       | **host**  | to oppose  |
| 68 | Leader (長)      | **duc**   | to guide   |
| 69 | Follower (従)    | **sect**  | to follow  |
| 70 | Stranger (他人)   | **alien** | to differ  |
| #  | Concept (Kanji) | Glyph    | Verb Form  |
| -- | --------------- | -------- | ---------- |
| 71 | Go (行)          | **vad**  | to proceed |
| 72 | Come (来)        | **ven**  | to arrive  |
| 73 | Enter (入)       | **intr** | to insert  |
| 74 | Exit (出)        | **ex**   | to leave   |
| 75 | Sit (座)         | **sed**  | to rest    |
| 76 | Stand (立)       | **stat** | to rise    |
| 77 | Walk (歩)        | **amb**  | to stroll  |
| 78 | Run (走)         | **curr** | to sprint  |
| 79 | Jump (跳)        | **sal**  | to leap    |
| 80 | Sleep (眠)       | **somn** | to rest    |
| #  | Concept (Kanji) | Glyph       | Verb Form    |
| -- | --------------- | ----------- | ------------ |
| 81 | Speak (話)       | **loqu**    | to converse  |
| 82 | Listen (聞)      | **aud**     | to attend    |
| 83 | Read (読)        | **leg**     | to interpret |
| 84 | Write (書)       | **scrib**   | to record    |
| 85 | Call (呼)        | **voc**     | to summon    |
| 86 | Answer (答)      | **respond** | to reply     |
| 87 | Ask (問)         | **interr**  | to inquire   |
| 88 | Tell (語)        | **narr**    | to relate    |
| 89 | Shout (叫)       | **clam**    | to exclaim   |
| #   | Concept (Kanji) | Glyph     | Verb Form    |
| --- | --------------- | --------- | ------------ |
| 91  | Tree (木)        | **arb**   | to branch    |
